Model,Threshold,Accuracy,Precision,Recall (DNF),F1-Score,CV F1,Vreme (s)
Random Forest,0.50,0.7368421052631579,0.22452229299363058,0.5778688524590164,0.32339449541284404,0.3119283154159326,39.5
XGBoost,0.60,0.7818911685994647,0.24210526315789474,0.4713114754098361,0.3198887343532684,0.31962565272187765,17.3
Logistic Regression,0.55,0.7011596788581623,0.20251396648044692,0.5942622950819673,0.3020833333333333,0.29313118098895036,6.7
MLP Classifier,0.10,0.6222123104371097,0.1761546723952739,0.6721311475409836,0.27914893617021275,0.010412779845094255,7.6
SVM,0.20,0.7569134701159679,0.19839679358717435,0.4057377049180328,0.26648721399730824,0.2792894691904017,55.1
KNN,0.10,0.719892952720785,0.1607773851590106,0.3729508196721312,0.22469135802469137,0.13809715794792105,3.3
