Model,Threshold,TN,FP,FN,TP,Accuracy,Precision,Recall (DNF),F1-Score,Cost,Saving
One-Class SVM,11.9376,1807,191,203,41,0.8242640499553969,0.17672413793103448,0.1680327868852459,0.1722689075630252,1206,1.1%
Isolation Forest,0.4985,1885,113,212,32,0.8550401427297056,0.2206896551724138,0.13114754098360656,0.16452442159383032,1173,3.9%
