Model,Threshold,Accuracy,Precision,Recall (DNF),F1-Score,CV F1,Vreme (s)
MLP Classifier,0.15,0.6262265834076717,0.17926565874730022,0.680327868852459,0.28376068376068375,0.00519500075289866,9.2
KNN,0.15,0.7328278322925958,0.18246869409660108,0.4180327868852459,0.25404732254047324,0.1364000026689719,7.9
XGBoost,0.15,0.3452274754683318,0.13872491145218419,0.9631147540983607,0.24251805985552116,0.31381624325089696,21.1
SVM,0.15,0.45896520963425513,0.1419068736141907,0.7868852459016393,0.24045084533500313,0.27569793718998276,68.5
Random Forest,0.15,0.29973238180196254,0.13248337028824833,0.9795081967213115,0.2333984375,0.32161959548902064,231.3
Logistic Regression,0.15,0.11195361284567351,0.10917225950782998,1.0,0.19685356998789835,0.2927007709519624,7.8
