Model,Threshold,Accuracy,Precision,Recall (DNF),F1-Score,CV F1,Vreme (s)
Logistic Regression,0.55,0.6926851025869759,0.1939477303988996,0.5778688524590164,0.29042224510813597,0.5929940732236799,7.5
Random Forest,0.45,0.6993755575379126,0.19197707736389685,0.5491803278688525,0.28450106157112526,0.6060680576196573,92.3
MLP Classifier,0.40,0.6900089206066012,0.18194640338504936,0.5286885245901639,0.2707240293809024,0.6611887498630034,46.3
KNN,0.25,0.7132024977698483,0.16013628620102216,0.38524590163934425,0.22623345367027678,0.8606430217609882,7.2
XGBoost,0.80,0.30597680642283676,0.12727272727272726,0.9180327868852459,0.22355289421157684,0.590028449073362,27.9
SVM,0.10,0.11239964317573595,0.10816876122082585,0.9877049180327869,0.19498381877022652,0.5906600049574869,108.8
