Model,SW,Thresh,Accuracy,Precision,Recall (DNF),F1-Score,Cost (FN+FP),Ušteda vs baseline,CV Cost,Vreme (s)
Logistic Regression,Da,0.80,0.6882247992863515,0.1986754966887417,0.6147540983606558,0.3003003003003003,1075,11.9%,1655.6,8.4
Random Forest,Da,0.60,0.723907225691347,0.20285261489698891,0.5245901639344263,0.2925714285714286,1083,11.2%,1839.4,107.0
XGBoost,Da,0.95,0.5972346119536128,0.17978620019436345,0.7581967213114754,0.2906520031421838,1139,6.6%,1682.0,33.8
MLP Classifier,Da,0.80,0.7305976806422837,0.1875,0.4426229508196721,0.2634146341463415,1148,5.9%,1362.8,51.6
KNN,Ne,0.85,0.855486173059768,0.22972972972972974,0.13934426229508196,0.17346938775510204,1164,4.6%,682.2,8.3
SVM,Da,0.95,0.7832292595896521,0.08275862068965517,0.09836065573770492,0.0898876404494382,1366,-12.0%,1864.4,150.7
