Model,Threshold,Accuracy,Precision,Recall (DNF),F1-Score,CV F1,Vreme (s)
Random Forest,0.45,0.6819803746654772,0.21712907117008443,0.7377049180327869,0.33550792171481825,0.309752978166825,39.7
XGBoost,0.50,0.6984834968777877,0.21352785145888595,0.6598360655737705,0.3226452905811623,0.31381624325089696,16.1
Logistic Regression,0.55,0.695807314897413,0.19667590027700832,0.5819672131147541,0.2939958592132505,0.2927007709519624,8.3
MLP Classifier,0.15,0.6262265834076717,0.17926565874730022,0.680327868852459,0.28376068376068375,0.00519500075289866,6.9
SVM,0.20,0.7783229259589652,0.2144469525959368,0.38934426229508196,0.2765647743813683,0.27569793718998276,53.3
KNN,0.10,0.7328278322925958,0.18246869409660108,0.4180327868852459,0.25404732254047324,0.1364000026689719,5.8
