Model,Threshold,Accuracy,Precision,Recall (DNF),F1-Score,CV F1,Vreme (s)
MLP Classifier,0.35,0.7194469223907226,0.21311475409836064,0.5860655737704918,0.31256830601092894,0.39946726474402744,22.3
XGBoost,0.80,0.7065120428189117,0.2059659090909091,0.5942622950819673,0.3059071729957806,0.45200185469006965,17.8
Logistic Regression,0.55,0.6966993755575379,0.20054945054945056,0.5983606557377049,0.3004115226337449,0.5117705211893309,6.5
Random Forest,0.45,0.7381801962533452,0.2098138747884941,0.5081967213114754,0.2970059880239521,0.45643959478150037,52.7
KNN,0.25,0.7261373773416593,0.17881944444444445,0.42213114754098363,0.25121951219512195,0.7912076699219759,7.2
SVM,0.15,0.1128456735057984,0.10927004030452306,1.0,0.1970125151392814,0.4568264521127615,78.6
