Model,Threshold,Accuracy,Precision,Recall (DNF),F1-Score,CV F1,Vreme (s)
XGBoost,0.75,0.27029438001784123,0.12419006479481641,0.9426229508196722,0.21946564885496184,0.590028449073362,22.4
KNN,0.75,0.8550401427297056,0.23178807947019867,0.14344262295081966,0.17721518987341772,0.8606430217609882,7.1
SVM,0.75,0.7917038358608386,0.1414790996784566,0.18032786885245902,0.15855855855855855,0.5906600049574869,109.0
Logistic Regression,0.75,0.8626226583407671,0.23770491803278687,0.11885245901639344,0.15846994535519127,0.5929940732236799,7.4
MLP Classifier,0.75,0.8813559322033898,0.3103448275862069,0.07377049180327869,0.11920529801324503,0.6611887498630034,45.4
Random Forest,0.75,0.8867082961641392,0.375,0.06147540983606557,0.1056338028169014,0.6060680576196573,74.8
