feature,shap,permutation,shap_norm,perm_norm,combined
rider_name,0.38015455,0.012457259350201899,0.72968894,0.9999999197255278,0.8648444310789657
year,0.16963983,0.00946247269183328,0.32561573,0.7595950012941585,0.5426053675780409
team_name,0.52098167,-0.0009970223758609953,1.0,-0.08003544502020754,0.45998227748989623
Team_DNF_Rate,0.09918756,0.0047523306757593035,0.1903859,0.38149083684216983,0.2859383649147106
Track_DNF_Rate,0.10893915,0.0022076984775261433,0.20910361,0.17722183011855913,0.19316272210521615
Rider_Experience,0.037882388,0.0010851582459228293,0.07271347,0.08711050547364067,0.07991198871137059
Bike_DNF_Rate,0.0704625,4.5637511453155974e-05,0.13524948,0.003663527145630886,0.06945650387537816
bike_name,0.10797606,-0.00117068375242379,0.207255,-0.09397602036990552,0.05663949273329065
Historical_DNF_Rate,0.027323201,-1.853603759507938e-05,0.05244561,-0.0014879706351147233,0.0254788192437
circuit_name,0.028398648,-0.00012980106361558662,0.05450988,-0.010419711876173713,0.02204508314119781
Quali_Time_Std,0.020317255,-9.26801879753969e-05,0.038998023,-0.007439853175573617,0.015779084749970303
sequence,0.012393047,7.407916865345143e-05,0.023787875,0.005946666166630354,0.014867270447535797
Quali_Top6_Gap,0.008261949,0.0,0.015858425,0.0,0.007929212413728237
Season_Phase,0.019133653,-0.0002681513180999795,0.036726154,-0.021525705537304075,0.007600224424846574
Quali_Spread,0.007662791,0.0,0.014708369,0.0,0.00735418451949954
shortname,0.019919021,-0.0009588283294313937,0.03823363,-0.07696943810087856,-0.019367903870852868
