result_id,pos.,pts,no,rider,Team,time / gap,session,class,event,year,event_id
53,DNF,0.0,5,J. Masia,Red Bull KTM Ajo,9 laps,Race,Moto3,QAT,2022,0
54,DNF,0.0,19,S. Ogden,VisionTrack Racing Team,6 laps,Race,Moto3,QAT,2022,0
55,DNF,0.0,99,C. Tatay,CFMOTO Racing PruestelGP,3 laps,Race,Moto3,QAT,2022,0
56,DNF,0.0,24,T. Suzuki,Leopard Racing,3 laps,Race,Moto3,QAT,2022,0
57,DNF,0.0,20,L. Fellon,SIC58 Squadra Corse,3 laps,Race,Moto3,QAT,2022,0
58,1,25.0,23,E. Bastianini,Gresini Racing MotoGP,42:13.198,Race,MotoGP,QAT,2022,0
59,2,20.0,33,B. Binder,Red Bull KTM Factory Racing,+0.346,Race,MotoGP,QAT,2022,0
60,3,16.0,44,P. Espargaro,Repsol Honda Team,+1.351,Race,MotoGP,QAT,2022,0
61,4,13.0,41,A. Espargaro,Aprilia Racing,+2.242,Race,MotoGP,QAT,2022,0
62,5,11.0,93,M. Marquez,Repsol Honda Team,+4.099,Race,MotoGP,QAT,2022,0
63,6,10.0,36,J. Mir,Team SUZUKI ECSTAR,+4.843,Race,MotoGP,QAT,2022,0
64,7,9.0,42,A. Rins,Team SUZUKI ECSTAR,+8.810,Race,MotoGP,QAT,2022,0
65,8,8.0,5,J. Zarco,Prima Pramac Racing,+10.536,Race,MotoGP,QAT,2022,0
66,9,7.0,20,F. Quartararo,Monster Energy Yamaha MotoGP,+10.543,Race,MotoGP,QAT,2022,0
67,10,6.0,30,T. Nakagami,LCR Honda IDEMITSU,+14.967,Race,MotoGP,QAT,2022,0
68,11,5.0,21,F. Morbidelli,Monster Energy Yamaha MotoGP,+16.712,Race,MotoGP,QAT,2022,0
69,12,4.0,12,M. Viñales,Aprilia Racing,+23.216,Race,MotoGP,QAT,2022,0
70,13,3.0,10,L. Marini,Mooney VR46 Racing Team,+27.283,Race,MotoGP,QAT,2022,0
71,14,2.0,4,A. Dovizioso,WithU Yamaha RNF MotoGP Team,+27.374,Race,MotoGP,QAT,2022,0
72,15,1.0,87,R. Gardner,Tech3 KTM Factory Racing,+41.107,Race,MotoGP,QAT,2022,0
73,16,0.0,40,D. Binder,WithU Yamaha RNF MotoGP Team,+41.119,Race,MotoGP,QAT,2022,0
74,17,0.0,49,F. Di Giannantonio,Gresini Racing MotoGP,+41.349,Race,MotoGP,QAT,2022,0
75,18,0.0,25,R. Fernandez,Tech3 KTM Factory Racing,+42.357,Race,MotoGP,QAT,2022,0
76,DNF,0.0,63,F. Bagnaia,Ducati Lenovo Team,11 laps,Race,MotoGP,QAT,2022,0
77,DNF,0.0,89,J. Martin,Prima Pramac Racing,11 laps,Race,MotoGP,QAT,2022,0
78,DNF,0.0,88,M. Oliveira,Red Bull KTM Factory Racing,10 laps,Race,MotoGP,QAT,2022,0
79,DNF,0.0,73,A. Marquez,LCR Honda CASTROL,9 laps,Race,MotoGP,QAT,2022,0
