result_id,pos.,pts,no,rider,Team,time / gap,session,class,event,year,event_id
2384,DNF,0.0,20,F. Quartararo,Monster Energy Yamaha MotoGP,9 laps,Sprint,MotoGP,FRA,2023,4
2385,DNF,0.0,94,J. Folger,GASGAS Factory Racing Tech3,8 laps,Sprint,MotoGP,FRA,2023,4
2386,DNF,0.0,37,A. Fernandez,GASGAS Factory Racing Tech3,5 laps,Sprint,MotoGP,FRA,2023,4
2387,DNF,0.0,43,J. Miller,Red Bull KTM Factory Racing,1 laps,Sprint,MotoGP,FRA,2023,4
2388,1,25.0,37,P. Acosta,Red Bull KTM Ajo,35:38.328,Race,Moto2,ITA,2023,5
2389,2,20.0,14,T. Arbolino,Elf Marc VDS Racing Team,+6.194,Race,Moto2,ITA,2023,5
2390,3,16.0,96,J. Dixon,Autosolar GASGAS Aspar M2,+8.582,Race,Moto2,ITA,2023,5
2391,4,13.0,40,A. Canet,Pons Wegow Los40,+8.847,Race,Moto2,ITA,2023,5
2392,5,11.0,13,C. Vietti,Fantic Racing,+9.534,Race,Moto2,ITA,2023,5
2393,6,10.0,21,A. Lopez,MB Conveyors SpeedUp,+10.852,Race,Moto2,ITA,2023,5
2394,7,9.0,12,F. Salac,QJMOTOR Gresini Moto2,+13.994,Race,Moto2,ITA,2023,5
2395,8,8.0,18,M. Gonzalez,Correos Prepago Yamaha VR46 MasterCamp,+16.171,Race,Moto2,ITA,2023,5
2396,9,7.0,35,S. Chantra,IDEMITSU Honda Team Asia,+18.008,Race,Moto2,ITA,2023,5
2397,10,6.0,11,S. Garcia,Pons Wegow Los40,+18.021,Race,Moto2,ITA,2023,5
2398,11,5.0,34,M. Pasini,Fieten Olie Racing GP,+20.365,Race,Moto2,ITA,2023,5
2399,12,4.0,16,J. Roberts,Italtrans Racing Team,+22.895,Race,Moto2,ITA,2023,5
2400,13,3.0,71,D. Foggia,Italtrans Racing Team,+23.143,Race,Moto2,ITA,2023,5
2401,14,2.0,64,B. Bendsneyder,Pertamina Mandalika SAG Team,+23.851,Race,Moto2,ITA,2023,5
2402,15,1.0,79,A. Ogura,IDEMITSU Honda Team Asia,+24.307,Race,Moto2,ITA,2023,5
2403,16,0.0,7,B. Baltus,Fieten Olie Racing GP,+25.046,Race,Moto2,ITA,2023,5
2404,17,0.0,72,B. Gomez,Fantic Racing,+28.601,Race,Moto2,ITA,2023,5
2405,18,0.0,28,I. Guevara,Autosolar GASGAS Aspar M2,+29.642,Race,Moto2,ITA,2023,5
2406,19,0.0,4,S. Kelly,OnlyFans American Racing,+48.482,Race,Moto2,ITA,2023,5
2407,20,0.0,19,L. Dalla Porta,Forward Team,+48.708,Race,Moto2,ITA,2023,5
2408,21,0.0,23,T. Hada,Pertamina Mandalika SAG Team,+59.397,Race,Moto2,ITA,2023,5
2409,22,0.0,27,K. Daniel,Correos Prepago Yamaha VR46 MasterCamp,+91.843,Race,Moto2,ITA,2023,5
2410,23,0.0,75,A. Arenas,Red Bull KTM Ajo,+0.000,Race,Moto2,ITA,2023,5
2411,DNF,0.0,84,Z. Van Den Goorbergh,Fieten Olie Racing GP,9 laps,Race,Moto2,ITA,2023,5
2412,DNF,0.0,3,L. Tulovic,Liqui Moly Husqvarna Intact GP,7 laps,Race,Moto2,ITA,2023,5
2413,DNF,0.0,22,S. Lowes,Elf Marc VDS Racing Team,,Race,Moto2,ITA,2023,5
2414,DNF,0.0,15,D. Binder,Liqui Moly Husqvarna Intact GP,,Race,Moto2,ITA,2023,5
2415,DNF,0.0,54,F. Aldeguer ,MB Conveyors SpeedUp,,Race,Moto2,ITA,2023,5
2416,DNF,0.0,24,M. Ramirez,Forward Team,,Race,Moto2,ITA,2023,5
2417,DNF,0.0,52,J. Alcoba,QJMOTOR Gresini Moto2,,Race,Moto2,ITA,2023,5
2418,1,25.0,96,D. Holgado,Red Bull KTM Tech3,33:27.315,Race,Moto3,ITA,2023,5
2419,2,20.0,53,D. Öncü,Red Bull KTM Ajo,+0.051,Race,Moto3,ITA,2023,5
2420,3,16.0,71,A. Sasaki,Liqui Moly Husqvarna Intact GP,+0.056,Race,Moto3,ITA,2023,5
2421,4,13.0,80,D. Alonso,Valresa GASGAS Aspar M3,+0.172,Race,Moto3,ITA,2023,5
2422,5,11.0,5,J. Masia,Leopard Racing,+0.487,Race,Moto3,ITA,2023,5
2423,6,10.0,95,C. Veijer,Liqui Moly Husqvarna Intact GP,+13.321,Race,Moto3,ITA,2023,5
2424,7,9.0,10,D. Moreira,MT Helmets - MSI,+13.332,Race,Moto3,ITA,2023,5
2425,8,8.0,54,R. Rossi,SIC58 Squadra Corse,+13.360,Race,Moto3,ITA,2023,5
2426,9,7.0,82,S. Nepa,Angeluss MTA Team,+13.429,Race,Moto3,ITA,2023,5
2427,10,6.0,27,K. Toba,SIC58 Squadra Corse,+13.460,Race,Moto3,ITA,2023,5
2428,11,5.0,48,I. Ortola,Angeluss MTA Team,+14.146,Race,Moto3,ITA,2023,5
2429,12,4.0,18,M. Bertelle,Rivacold Snipers Team,+14.243,Race,Moto3,ITA,2023,5
2430,13,3.0,19,S. Ogden,VisionTrack Racing Team,+15.023,Race,Moto3,ITA,2023,5
2431,14,2.0,99,J. Rueda,Red Bull KTM Ajo,+15.701,Race,Moto3,ITA,2023,5
2432,15,1.0,6,R. Yamanaka,Valresa GASGAS Aspar M3,+15.744,Race,Moto3,ITA,2023,5
2433,16,0.0,16,A. Migno,CIP Green Power,+20.945,Race,Moto3,ITA,2023,5
2434,17,0.0,55,R. Fenati,Rivacold Snipers Team,+23.062,Race,Moto3,ITA,2023,5
2435,18,0.0,38,D. Salvador ,CIP Green Power,+38.743,Race,Moto3,ITA,2023,5
2436,19,0.0,58,L. Lunetta,MT Helmets - MSI,+38.783,Race,Moto3,ITA,2023,5
2437,20,0.0,64,M. Suryo Aji,Honda Team Asia,+38.981,Race,Moto3,ITA,2023,5
2438,21,0.0,70,J. Whatley,VisionTrack Racing Team,+39.002,Race,Moto3,ITA,2023,5
2439,22,0.0,22,A. Carrasco,BOE Motorsports,+40.085,Race,Moto3,ITA,2023,5
2440,DNF,0.0,24,T. Suzuki,Leopard Racing,16 laps,Race,Moto3,ITA,2023,5
2441,DNF,0.0,72,T. Furusato,Honda Team Asia,16 laps,Race,Moto3,ITA,2023,5
2442,DNF,0.0,21,V. Perez,BOE Motorsports,8 laps,Race,Moto3,ITA,2023,5
2443,DNF,0.0,66,J. Kelso,CFMOTO Racing PruestelGP,7 laps,Race,Moto3,ITA,2023,5
2444,DNF,0.0,43,X. Artigas,CFMOTO Racing PruestelGP,1 laps,Race,Moto3,ITA,2023,5
2445,DNF,0.0,7,F. Farioli,Red Bull KTM Tech3,1 laps,Race,Moto3,ITA,2023,5
2446,1,25.0,51,E. Granado,LCR E-Team,11:25.573,Race,MotoE,ITA,2023,5
2447,2,20.0,34,K. Manfredi,Ongetta SIC58 Squadracorse,+1.301,Race,MotoE,ITA,2023,5
2448,3,16.0,11,M. Ferrari,Felo Gresini MotoE,+1.666,Race,MotoE,ITA,2023,5
2449,4,13.0,29,N. Spinelli,HP Pons Los40,+2.513,Race,MotoE,ITA,2023,5
2450,5,11.0,81,J. Torres,Openbank Aspar Team,+4.269,Race,MotoE,ITA,2023,5
2451,6,10.0,4,H. Garzo,Dynavolt Intact GP MotoE,+4.456,Race,MotoE,ITA,2023,5
2452,7,9.0,3,R. Krummenacher,Dynavolt Intact GP MotoE,+7.157,Race,MotoE,ITA,2023,5
2453,8,8.0,8,M. Perez,RNF MotoE Team,+7.486,Race,MotoE,ITA,2023,5
2454,9,7.0,61,A. Zaccone,Tech3 E-racing,+7.530,Race,MotoE,ITA,2023,5
2455,10,6.0,21,K. Zannoni,Ongetta SIC58 Squadracorse,+15.572,Race,MotoE,ITA,2023,5
2456,11,5.0,23,L. Salvadori,Prettl Pramac MotoE,+15.700,Race,MotoE,ITA,2023,5
2457,12,4.0,78,H. Okubo,Tech3 E-racing,+17.689,Race,MotoE,ITA,2023,5
2458,13,3.0,53,T. Rabat,Prettl Pramac MotoE,+21.489,Race,MotoE,ITA,2023,5
2459,14,2.0,6,M. Herrera,OpenBank Aspar Team,+0.000,Race,MotoE,ITA,2023,5
2460,15,1.0,77,M. Pons,LCR E-Team,+0.000,Race,MotoE,ITA,2023,5
2461,DNF,0.0,40,M. Casadei,HP Pons Los40,4 laps,Race,MotoE,ITA,2023,5
2462,DNF,0.0,72,A. Finello,Felo Gresini MotoE,4 laps,Race,MotoE,ITA,2023,5
2463,DNF,0.0,9,A. Mantovani,RNF MotoE Team,4 laps,Race,MotoE,ITA,2023,5
2464,1,25.0,1,F. Bagnaia,Ducati Lenovo Team,41:16.863,Race,MotoGP,ITA,2023,5
2465,2,20.0,89,J. Martin,Prima Pramac Racing,+1.067,Race,MotoGP,ITA,2023,5
2466,3,16.0,5,J. Zarco,Prima Pramac Racing,+1.977,Race,MotoGP,ITA,2023,5
2467,4,13.0,10,L. Marini,Mooney VR46 Racing Team,+4.625,Race,MotoGP,ITA,2023,5
2468,5,11.0,33,B. Binder,Red Bull KTM Factory Racing,+8.925,Race,MotoGP,ITA,2023,5
2469,6,10.0,41,A. Espargaro,Aprilia Racing,+10.908,Race,MotoGP,ITA,2023,5
2470,7,9.0,43,J. Miller,Red Bull KTM Factory Racing,+10.999,Race,MotoGP,ITA,2023,5
2471,8,8.0,72,M. Bezzecchi,Mooney VR46 Racing Team,+12.654,Race,MotoGP,ITA,2023,5
2472,9,7.0,23,E. Bastianini,Ducati Lenovo Team,+17.102,Race,MotoGP,ITA,2023,5
2473,10,6.0,21,F. Morbidelli,Monster Energy Yamaha MotoGP,+17.610,Race,MotoGP,ITA,2023,5
2474,11,5.0,20,F. Quartararo,Monster Energy Yamaha MotoGP,+17.861,Race,MotoGP,ITA,2023,5
2475,12,4.0,12,M. Viñales,Aprilia Racing,+19.110,Race,MotoGP,ITA,2023,5
2476,13,3.0,30,T. Nakagami,LCR Honda IDEMITSU,+21.947,Race,MotoGP,ITA,2023,5
2477,14,2.0,49,F. Di Giannantonio,Gresini Racing MotoGP,+25.906,Race,MotoGP,ITA,2023,5
2478,15,1.0,37,A. Fernandez,GASGAS Factory Racing Tech3,+26.500,Race,MotoGP,ITA,2023,5
2479,16,0.0,51,M. Pirro,Aruba.it Racing,+30.150,Race,MotoGP,ITA,2023,5
2480,17,0.0,25,R. Fernandez,CryptoDATA RNF MotoGP Team,+38.001,Race,MotoGP,ITA,2023,5
2481,18,0.0,32,L. Savadori,Aprilia Racing,+38.662,Race,MotoGP,ITA,2023,5
2482,19,0.0,94,J. Folger,GASGAS Factory Racing Tech3,+78.912,Race,MotoGP,ITA,2023,5
2483,DNF,0.0,73,A. Marquez,Gresini Racing MotoGP,14 laps,Race,MotoGP,ITA,2023,5
2484,DNF,0.0,88,M. Oliveira,CryptoDATA RNF MotoGP Team,10 laps,Race,MotoGP,ITA,2023,5
2485,DNF,0.0,93,M. Marquez,Repsol Honda Team,5 laps,Race,MotoGP,ITA,2023,5
2486,1,12.0,1,F. Bagnaia,Ducati Lenovo Team,19:41.183,Sprint,MotoGP,ITA,2023,5
2487,2,9.0,72,M. Bezzecchi,Mooney VR46 Racing Team,+0.369,Sprint,MotoGP,ITA,2023,5
2488,3,7.0,89,J. Martin,Prima Pramac Racing,+0.952,Sprint,MotoGP,ITA,2023,5
2489,4,6.0,5,J. Zarco,Prima Pramac Racing,+1.009,Sprint,MotoGP,ITA,2023,5
2490,5,5.0,10,L. Marini,Mooney VR46 Racing Team,+3.668,Sprint,MotoGP,ITA,2023,5
2491,6,4.0,43,J. Miller,Red Bull KTM Factory Racing,+3.772,Sprint,MotoGP,ITA,2023,5
2492,7,3.0,93,M. Marquez,Repsol Honda Team,+3.905,Sprint,MotoGP,ITA,2023,5
2493,8,2.0,41,A. Espargaro,Aprilia Racing,+6.062,Sprint,MotoGP,ITA,2023,5
2494,9,1.0,23,E. Bastianini,Ducati Lenovo Team,+6.431,Sprint,MotoGP,ITA,2023,5
2495,10,0.0,20,F. Quartararo,Monster Energy Yamaha MotoGP,+6.458,Sprint,MotoGP,ITA,2023,5
2496,11,0.0,33,B. Binder,Red Bull KTM Factory Racing,+6.672,Sprint,MotoGP,ITA,2023,5
2497,12,0.0,88,M. Oliveira,CryptoDATA RNF MotoGP Team,+7.930,Sprint,MotoGP,ITA,2023,5
2498,13,0.0,12,M. Viñales,Aprilia Racing,+9.022,Sprint,MotoGP,ITA,2023,5
2499,14,0.0,49,F. Di Giannantonio,Gresini Racing MotoGP,+11.508,Sprint,MotoGP,ITA,2023,5
2500,15,0.0,51,M. Pirro,Aruba.it Racing,+14.344,Sprint,MotoGP,ITA,2023,5
2501,16,0.0,21,F. Morbidelli,Monster Energy Yamaha MotoGP,+16.666,Sprint,MotoGP,ITA,2023,5
2502,17,0.0,30,T. Nakagami,LCR Honda IDEMITSU,+16.725,Sprint,MotoGP,ITA,2023,5
2503,18,0.0,32,L. Savadori,Aprilia Racing,+17.247,Sprint,MotoGP,ITA,2023,5
2504,19,0.0,25,R. Fernandez,CryptoDATA RNF MotoGP Team,+21.596,Sprint,MotoGP,ITA,2023,5
2505,20,0.0,37,A. Fernandez,GASGAS Factory Racing Tech3,+35.212,Sprint,MotoGP,ITA,2023,5
2506,21,0.0,94,J. Folger,GASGAS Factory Racing Tech3,+46.189,Sprint,MotoGP,ITA,2023,5
2507,DNF,0.0,42,A. Rins,LCR Honda CASTROL,3 laps,Sprint,MotoGP,ITA,2023,5
2508,DNF,0.0,73,A. Marquez,Gresini Racing MotoGP,,Sprint,MotoGP,ITA,2023,5
2509,1,25.0,37,P. Acosta,Red Bull KTM Ajo,35:15.315,Race,Moto2,GER,2023,6
2510,2,20.0,14,T. Arbolino,Elf Marc VDS Racing Team,+2.730,Race,Moto2,GER,2023,6
2511,3,16.0,96,J. Dixon,Polar Cube GASGAS Aspar Team,+2.825,Race,Moto2,GER,2023,6
2512,4,13.0,35,S. Chantra,IDEMITSU Honda Team Asia,+9.013,Race,Moto2,GER,2023,6
2513,5,11.0,21,A. Lopez,MB Conveyors SpeedUp,+12.274,Race,Moto2,GER,2023,6
2514,6,10.0,18,M. Gonzalez,Correos Prepago Yamaha VR46 MasterCamp,+13.540,Race,Moto2,GER,2023,6
2515,7,9.0,22,S. Lowes,Elf Marc VDS Racing Team,+14.457,Race,Moto2,GER,2023,6
2516,8,8.0,54,F. Aldeguer ,MB Conveyors SpeedUp,+15.053,Race,Moto2,GER,2023,6
2517,9,7.0,75,A. Arenas,Red Bull KTM Ajo,+15.219,Race,Moto2,GER,2023,6
2518,10,6.0,13,C. Vietti,Fantic Racing,+15.397,Race,Moto2,GER,2023,6
2519,11,5.0,11,S. Garcia,Pons Wegow Los40,+22.204,Race,Moto2,GER,2023,6
2520,12,4.0,7,B. Baltus,Fieten Olie Racing GP,+23.478,Race,Moto2,GER,2023,6
2521,13,3.0,12,F. Salac,QJMOTOR Gresini Moto2,+23.586,Race,Moto2,GER,2023,6
2522,14,2.0,79,A. Ogura,IDEMITSU Honda Team Asia,+23.879,Race,Moto2,GER,2023,6
2523,15,1.0,71,D. Foggia,Italtrans Racing Team,+24.947,Race,Moto2,GER,2023,6
2524,16,0.0,52,J. Alcoba,QJMOTOR Gresini Moto2,+28.448,Race,Moto2,GER,2023,6
2525,17,0.0,4,S. Kelly,OnlyFans American Racing,+32.574,Race,Moto2,GER,2023,6
2526,18,0.0,84,Z. Van Den Goorbergh,Fieten Olie Racing GP,+35.241,Race,Moto2,GER,2023,6
2527,19,0.0,99,C. Tatay,OnlyFans American Racing,+36.630,Race,Moto2,GER,2023,6
2528,20,0.0,24,M. Ramirez,Forward Team,+48.790,Race,Moto2,GER,2023,6
2529,21,0.0,23,T. Hada,Pertamina Mandalika SAG Team,+71.766,Race,Moto2,GER,2023,6
2530,22,0.0,27,K. Daniel,Correos Prepago Yamaha VR46 MasterCamp,+83.431,Race,Moto2,GER,2023,6
2531,DNF,0.0,16,J. Roberts,Italtrans Racing Team,18 laps,Race,Moto2,GER,2023,6
2532,DNF,0.0,19,L. Dalla Porta,Forward Team,11 laps,Race,Moto2,GER,2023,6
2533,DNF,0.0,28,I. Guevara,Polar Cube GASGAS Aspar Team,8 laps,Race,Moto2,GER,2023,6
2534,DNF,0.0,40,A. Canet,Pons Wegow Los40,5 laps,Race,Moto2,GER,2023,6
2535,DNF,0.0,3,L. Tulovic,Liqui Moly Husqvarna Intact GP,4 laps,Race,Moto2,GER,2023,6
2536,DNF,0.0,64,B. Bendsneyder,Pertamina Mandalika SAG Team,,Race,Moto2,GER,2023,6
2537,DNF,0.0,15,D. Binder,Liqui Moly Husqvarna Intact GP,,Race,Moto2,GER,2023,6
2538,1,25.0,53,D. Öncü,Red Bull KTM Ajo,33:10.531,Race,Moto3,GER,2023,6
2539,2,20.0,71,A. Sasaki,Liqui Moly Husqvarna Intact GP,+0.095,Race,Moto3,GER,2023,6
2540,3,16.0,96,D. Holgado,Red Bull KTM Tech3,+12.074,Race,Moto3,GER,2023,6
2541,4,13.0,48,I. Ortola,Angeluss MTA Team,+12.196,Race,Moto3,GER,2023,6
2542,5,11.0,80,D. Alonso,Gaviota GASGAS Aspar M3,+17.158,Race,Moto3,GER,2023,6
2543,6,10.0,5,J. Masia,Leopard Racing,+17.328,Race,Moto3,GER,2023,6
2544,7,9.0,10,D. Moreira,MT Helmets - MSI,+17.416,Race,Moto3,GER,2023,6
2545,8,8.0,6,R. Yamanaka,Gaviota GASGAS Aspar M3,+17.468,Race,Moto3,GER,2023,6
2546,9,7.0,82,S. Nepa,Angeluss MTA Team,+17.548,Race,Moto3,GER,2023,6
2547,10,6.0,72,T. Furusato,Honda Team Asia,+18.132,Race,Moto3,GER,2023,6
2548,11,5.0,43,X. Artigas,CFMOTO Racing PruestelGP,+17.838,Race,Moto3,GER,2023,6
2549,12,4.0,44,D. Muñoz ,BOE Motorsports,+20.723,Race,Moto3,GER,2023,6
2550,13,3.0,99,J. Rueda,Red Bull KTM Ajo,+21.034,Race,Moto3,GER,2023,6
2551,14,2.0,27,K. Toba,SIC58 Squadra Corse,+21.147,Race,Moto3,GER,2023,6
2552,15,1.0,16,A. Migno,CIP Green Power,+21.241,Race,Moto3,GER,2023,6
2553,16,0.0,31,A. Fernandez,Leopard Racing,+33.445,Race,Moto3,GER,2023,6
2554,17,0.0,54,R. Rossi,SIC58 Squadra Corse,+33.536,Race,Moto3,GER,2023,6
2555,18,0.0,55,R. Fenati,Rivacold Snipers Team,+33.611,Race,Moto3,GER,2023,6
2556,19,0.0,64,M. Suryo Aji,Honda Team Asia,+33.759,Race,Moto3,GER,2023,6
2557,20,0.0,19,S. Ogden,VisionTrack Racing Team,+36.144,Race,Moto3,GER,2023,6
2558,21,0.0,7,F. Farioli,Red Bull KTM Tech3,+43.725,Race,Moto3,GER,2023,6
2559,22,0.0,66,J. Kelso,CFMOTO Racing PruestelGP,+45.306,Race,Moto3,GER,2023,6
2560,23,0.0,70,J. Whatley,VisionTrack Racing Team,+55.584,Race,Moto3,GER,2023,6
2561,24,0.0,38,D. Salvador ,CIP Green Power,+55.605,Race,Moto3,GER,2023,6
2562,25,0.0,33,T. Buasri,Honda Team Asia,+55.729,Race,Moto3,GER,2023,6
2563,26,0.0,57,D. Shahril,MT Helmets - MSI,+55.801,Race,Moto3,GER,2023,6
2564,27,0.0,22,A. Carrasco,BOE Motorsports,+55.954,Race,Moto3,GER,2023,6
2565,DNF,0.0,18,M. Bertelle,Rivacold Snipers Team,21 laps,Race,Moto3,GER,2023,6
2566,DNF,0.0,95,C. Veijer,Liqui Moly Husqvarna Intact GP,1 laps,Race,Moto3,GER,2023,6
2567,1,25.0,4,H. Garzo,Dynavolt Intact GP MotoE,08:50.507,Race,MotoE,GER,2023,6
2568,2,20.0,40,M. Casadei,HP Pons Los40,+0.233,Race,MotoE,GER,2023,6
2569,3,16.0,81,J. Torres,Openbank Aspar Team,+0.290,Race,MotoE,GER,2023,6
2570,4,13.0,51,E. Granado,LCR E-Team,+0.577,Race,MotoE,GER,2023,6
2571,5,11.0,29,N. Spinelli,HP Pons Los40,+0.779,Race,MotoE,GER,2023,6
2572,6,10.0,3,R. Krummenacher,Dynavolt Intact GP MotoE,+0.802,Race,MotoE,GER,2023,6
2573,7,9.0,11,M. Ferrari,Felo Gresini MotoE,+0.857,Race,MotoE,GER,2023,6
2574,8,8.0,78,H. Okubo,Tech3 E-racing,+2.650,Race,MotoE,GER,2023,6
2575,9,7.0,61,A. Zaccone,Tech3 E-racing,+2.657,Race,MotoE,GER,2023,6
2576,10,6.0,9,A. Mantovani,RNF MotoE Team,+2.770,Race,MotoE,GER,2023,6
2577,11,5.0,77,M. Pons,LCR E-Team,+2.880,Race,MotoE,GER,2023,6
2578,12,4.0,21,K. Zannoni,Ongetta SIC58 Squadracorse,+5.312,Race,MotoE,GER,2023,6
2579,13,3.0,34,K. Manfredi,Ongetta SIC58 Squadracorse,+5.886,Race,MotoE,GER,2023,6
2580,14,2.0,53,T. Rabat,Prettl Pramac MotoE,+6.155,Race,MotoE,GER,2023,6
2581,15,1.0,8,M. Perez,RNF MotoE Team,+8.396,Race,MotoE,GER,2023,6
2582,16,0.0,23,L. Salvadori,Prettl Pramac MotoE,+13.836,Race,MotoE,GER,2023,6
2583,17,0.0,72,A. Finello,Felo Gresini MotoE,+14.481,Race,MotoE,GER,2023,6
2584,18,0.0,6,M. Herrera,OpenBank Aspar Team,+19.828,Race,MotoE,GER,2023,6
2585,1,25.0,89,J. Martin,Prima Pramac Racing,40:52.449,Race,MotoGP,GER,2023,6
2586,2,20.0,1,F. Bagnaia,Ducati Lenovo Team,+0.064,Race,MotoGP,GER,2023,6
2587,3,16.0,5,J. Zarco,Prima Pramac Racing,+7.013,Race,MotoGP,GER,2023,6
2588,4,13.0,72,M. Bezzecchi,Mooney VR46 Racing Team,+8.430,Race,MotoGP,GER,2023,6
2589,5,11.0,10,L. Marini,Mooney VR46 Racing Team,+11.679,Race,MotoGP,GER,2023,6
2590,6,10.0,43,J. Miller,Red Bull KTM Factory Racing,+11.904,Race,MotoGP,GER,2023,6
2591,7,9.0,73,A. Marquez,Gresini Racing MotoGP,+14.040,Race,MotoGP,GER,2023,6
2592,8,8.0,23,E. Bastianini,Ducati Lenovo Team,+14.859,Race,MotoGP,GER,2023,6
2593,9,7.0,49,F. Di Giannantonio,Gresini Racing MotoGP,+17.061,Race,MotoGP,GER,2023,6
2594,10,6.0,88,M. Oliveira,CryptoDATA RNF MotoGP Team,+19.648,Race,MotoGP,GER,2023,6
2595,11,5.0,37,A. Fernandez,GASGAS Factory Racing Tech3,+19.997,Race,MotoGP,GER,2023,6
2596,12,4.0,21,F. Morbidelli,Monster Energy Yamaha MotoGP,+22.949,Race,MotoGP,GER,2023,6
2597,13,3.0,20,F. Quartararo,Monster Energy Yamaha MotoGP,+25.117,Race,MotoGP,GER,2023,6
2598,14,2.0,30,T. Nakagami,LCR Honda IDEMITSU,+25.327,Race,MotoGP,GER,2023,6
2599,15,1.0,25,R. Fernandez,CryptoDATA RNF MotoGP Team,+25.503,Race,MotoGP,GER,2023,6
2600,16,0.0,41,A. Espargaro,Aprilia Racing,+28.543,Race,MotoGP,GER,2023,6
2601,17,0.0,94,J. Folger,GASGAS Factory Racing Tech3,+48.962,Race,MotoGP,GER,2023,6
2602,DNF,0.0,33,B. Binder,Red Bull KTM Factory Racing,18 laps,Race,MotoGP,GER,2023,6
2603,DNF,0.0,12,M. Viñales,Aprilia Racing,8 laps,Race,MotoGP,GER,2023,6
2604,1,12.0,89,J. Martin,Prima Pramac Racing,20:21.871,Sprint,MotoGP,GER,2023,6
2605,2,9.0,1,F. Bagnaia,Ducati Lenovo Team,+2.468,Sprint,MotoGP,GER,2023,6
2606,3,7.0,43,J. Miller,Red Bull KTM Factory Racing,+3.287,Sprint,MotoGP,GER,2023,6
2607,4,6.0,10,L. Marini,Mooney VR46 Racing Team,+5.487,Sprint,MotoGP,GER,2023,6
2608,5,5.0,5,J. Zarco,Prima Pramac Racing,+5.538,Sprint,MotoGP,GER,2023,6
2609,6,4.0,33,B. Binder,Red Bull KTM Factory Racing,+6.289,Sprint,MotoGP,GER,2023,6
2610,7,3.0,72,M. Bezzecchi,Mooney VR46 Racing Team,+6.956,Sprint,MotoGP,GER,2023,6
2611,8,2.0,73,A. Marquez,Gresini Racing MotoGP,+9.261,Sprint,MotoGP,GER,2023,6
2612,9,1.0,41,A. Espargaro,Aprilia Racing,+9.691,Sprint,MotoGP,GER,2023,6
2613,10,0.0,23,E. Bastianini,Ducati Lenovo Team,+9.715,Sprint,MotoGP,GER,2023,6
2614,11,0.0,93,M. Marquez,Repsol Honda Team,+10.828,Sprint,MotoGP,GER,2023,6
2615,12,0.0,49,F. Di Giannantonio,Gresini Racing MotoGP,+10.905,Sprint,MotoGP,GER,2023,6
2616,13,0.0,20,F. Quartararo,Monster Energy Yamaha MotoGP,+11.366,Sprint,MotoGP,GER,2023,6
2617,14,0.0,37,A. Fernandez,GASGAS Factory Racing Tech3,+12.593,Sprint,MotoGP,GER,2023,6
2618,15,0.0,21,F. Morbidelli,Monster Energy Yamaha MotoGP,+12.905,Sprint,MotoGP,GER,2023,6
2619,16,0.0,88,M. Oliveira,CryptoDATA RNF MotoGP Team,+13.837,Sprint,MotoGP,GER,2023,6
2620,17,0.0,30,T. Nakagami,LCR Honda IDEMITSU,+14.505,Sprint,MotoGP,GER,2023,6
2621,18,0.0,25,R. Fernandez,CryptoDATA RNF MotoGP Team,+28.959,Sprint,MotoGP,GER,2023,6
2622,DNF,0.0,12,M. Viñales,Aprilia Racing,11 laps,Sprint,MotoGP,GER,2023,6
2623,DNF,0.0,94,J. Folger,GASGAS Factory Racing Tech3,6 laps,Sprint,MotoGP,GER,2023,6
2624,1,25.0,96,J. Dixon,Inde GASGAS Aspar Team,35:43.411,Race,Moto2,NED,2023,7
2625,2,20.0,79,A. Ogura,IDEMITSU Honda Team Asia,+1.334,Race,Moto2,NED,2023,7
2626,3,16.0,37,P. Acosta,Red Bull KTM Ajo,+4.448,Race,Moto2,NED,2023,7
2627,4,13.0,54,F. Aldeguer ,Beta Tools SpeedUp,+4.487,Race,Moto2,NED,2023,7
2628,5,11.0,40,A. Canet,Pons Wegow Los40,+4.884,Race,Moto2,NED,2023,7
2629,6,10.0,21,A. Lopez,Beta Tools SpeedUp,+9.555,Race,Moto2,NED,2023,7
2630,7,9.0,14,T. Arbolino,Elf Marc VDS Racing Team,+9.625,Race,Moto2,NED,2023,7
2631,8,8.0,18,M. Gonzalez,Correos Prepago Yamaha VR46 MasterCamp,+10.547,Race,Moto2,NED,2023,7
2632,9,7.0,75,A. Arenas,Red Bull KTM Ajo,+10.615,Race,Moto2,NED,2023,7
2633,10,6.0,13,C. Vietti,Fantic Racing,+10.761,Race,Moto2,NED,2023,7
2634,11,5.0,22,S. Lowes,Elf Marc VDS Racing Team,+15.964,Race,Moto2,NED,2023,7
2635,12,4.0,7,B. Baltus,Fieten Olie Racing GP,+18.234,Race,Moto2,NED,2023,7
2636,13,3.0,11,S. Garcia,Pons Wegow Los40,+20.408,Race,Moto2,NED,2023,7
2637,14,2.0,15,D. Binder,Liqui Moly Husqvarna Intact GP,+20.639,Race,Moto2,NED,2023,7
2638,15,1.0,52,J. Alcoba,QJMOTOR Gresini Moto2,+24.492,Race,Moto2,NED,2023,7
2639,16,0.0,3,L. Tulovic,Liqui Moly Husqvarna Intact GP,+29.416,Race,Moto2,NED,2023,7
2640,17,0.0,99,C. Tatay,OnlyFans American Racing,+32.440,Race,Moto2,NED,2023,7
2641,18,0.0,16,J. Roberts,Italtrans Racing Team,+35.017,Race,Moto2,NED,2023,7
